본부코드	팀코드	담당자코드	매체	key	계정	소진액	ams소진액	불가사유	광고주명
926	964	200998	KAKAO	KAKAO326992	326992	5860	#N/A	#N/A	플로우마스터코리아
928	1202	25	KAKAO	KAKAO327222	327222	490	#N/A	#N/A	유니트론보청기 인천서구점
927	1200	1012	KAKAO	KAKAO327366	327366	7910	#N/A	#N/A	한국아동요리지도자협회
926	1207	201011	KAKAO	KAKAO329876	329876	420740	#N/A	#N/A	법무법인고운
926	964	1616	KAKAO	KAKAO330569	330569	34740	#N/A	#N/A	블루오토미션
928	1202	251	KAKAO	KAKAO330684	330684	66090	#N/A	#N/A	태영전자
928	1202	251	KAKAO	KAKAO331307	331307	70	#N/A	#N/A	상아시스템
928	1202	251	KAKAO	KAKAO333182	333182	70	#N/A	#N/A	비앤씨베이커스
928	1202	25	KAKAO	KAKAO333700	333700	8700	#N/A	#N/A	세종다발관
927	1200	551	KAKAO	KAKAO333726	333726	10330	#N/A	#N/A	현대금속
928	1202	251	KAKAO	KAKAO336515	336515	163180	#N/A	#N/A	효자실버요양원
928	1184	201004	KAKAO	KAKAO337362	337362	22240	#N/A	#N/A	현대러버텍
928	1202	251	KAKAO	KAKAO338922	338922	47750	#N/A	#N/A	진영건축
926	1207	201103	KAKAO	KAKAO341865	341865	104440	#N/A	#N/A	월드엔지니어링
928	1202	25	KAKAO	KAKAO406796	406796	48670	#N/A	#N/A	짱아빠
926	964	200998	KAKAO	KAKAO427163	427163	410	#N/A	#N/A	대전중기
928	1184	201022	KAKAO	KAKAO457524	457524	35290	#N/A	#N/A	예원특수인쇄
927	1200	1271	KAKAO	KAKAO467917	467917	150060	#N/A	#N/A	엠엔이씨
928	1202	1216	모먼트	모먼트122472	122472	51450	#N/A	#N/A	튼튼마켓
927	1200	930	모먼트	모먼트138725	138725	670945	#N/A	#N/A	주식회사티엠나인
927	1200	930	모먼트	모먼트146436	146436	1746000	#N/A	#N/A	라라뷰
928	935	2	모먼트	모먼트154181	154181	67096800	#N/A	#N/A	(주)지에스홈쇼핑
928	1202	939	모먼트	모먼트189770	189770	286620	#N/A	#N/A	누리플라스틱
1204	1205	201073	모먼트	모먼트195095	195095	283040	#N/A	#N/A	(주)휴온스푸디언스
926	1207	201011	모먼트	모먼트243069	243069	464360	#N/A	#N/A	리오홀딩스(저스트크래프트)
928	935	2	모먼트	모먼트250983	250983	3375570	#N/A	#N/A	벨르랑코
928	1202	81	모먼트	모먼트267424	267424	896170	#N/A	#N/A	올리비움산후조리원
1204	1205	201073	모먼트	모먼트276004	276004	988000	#N/A	#N/A	(주)미디어로그
928	1184	917	모먼트	모먼트296434	296434	110650	#N/A	#N/A	헤비스테이크
927	1200	817	모먼트	모먼트347332	347332	625740	#N/A	#N/A	진담인
928	966	201008	모먼트	모먼트366859	366859	36554200	#N/A	#N/A	논픽션
1204	1205	201073	모먼트	모먼트389780	389780	12230	#N/A	#N/A	(주)이엘라이즈
928	1202	1216	모먼트	모먼트390900	390900	271300	#N/A	#N/A	브라보퍼블릭스크린골프
928	1184	201004	모먼트	모먼트41929	41929	25740	#N/A	#N/A	광주랜드3공인중개사전문학원
928	935	2	모먼트	모먼트424123	424123	1806150	#N/A	#N/A	코스네이처
926	1207	201104	모먼트	모먼트425790	425790	178260	#N/A	#N/A	유진유통
1204	1205	201073	모먼트	모먼트432463	432463	465485	#N/A	#N/A	(주)이엘라이즈
928	935	2	모먼트	모먼트451275	451275	3912915	#N/A	#N/A	(주)교원크리에이티브
928	966	201008	모먼트	모먼트453515	453515	49873750	#N/A	#N/A	논픽션
928	1184	201022	모먼트	모먼트454992	454992	988000	#N/A	#N/A	골든비치리조트
928	1202	933	모먼트	모먼트466128	466128	88520	#N/A	#N/A	프라이빗펜션
926	1207	200982	모먼트	모먼트46946	46946	278350	#N/A	#N/A	사단복지법인빛과소금유당마을
926	1207	201104	모먼트	모먼트47575	47575	108890	#N/A	#N/A	한일공업변압기
809	810	201062	모먼트	모먼트478365	478365	2086520	#N/A	#N/A	사계절임대
926	1207	201103	모먼트	모먼트488116	488116	376640	#N/A	#N/A	제이컴퍼니
1204	1205	201073	모먼트	모먼트53889	53889	961720	#N/A	#N/A	(주)미디어로그
928	1202	939	모먼트	모먼트63907	63907	2900	#N/A	#N/A	(주)에일리언테크놀로지아시아
926	1207	201104	모먼트	모먼트94461	94461	39340	#N/A	#N/A	주식회사 이퀄스킨 (스킨스쿨)
928	1202	25	모먼트	모먼트99234	99234	8329850	#N/A	#N/A	샐러디
